COUNTYFIPS,COUNTY,STATE,community_type,pct_bachelors_degree,pct_graduate_degree,pct_hs_graduate,pct_less_than_hs,pct_associate_degree,pct_any_posths_education
29239,County_29239,New Hampshire,Rural,15.38,6.72,76.43,23.57,8.39,
31689,County_31689,New Mexico,Urban,18.2,6.15,72.33,27.67,5.55,31.19
15983,County_15983,Iowa,Rural,10.86,,74.82,25.18,6.55,
4725,County_4725,Arkansas,Rural,17.44,5.22,76.4,23.6,5.61,30.98
36133,County_36133,Oklahoma,Rural,7.7,6.69,75.77,24.23,8.29,25.09
52521,County_52521,Other,Rural,7.14,5.39,68.59,31.41,6.99,20.72
41525,County_41525,South Dakota,Rural,12.93,6.35,77.74,22.26,9.3,31.6
22793,County_22793,Michigan,Rural,17.09,,85.23,14.77,6.38,35.67
43219,County_43219,Texas,Suburban/Small City,6.8,5.47,69.02,30.98,3.51,16.51
2041,County_2041,Alaska,Suburban/Small City,17.84,7.01,69.63,30.37,4.97,28.94
2473,County_2473,Alaska,Urban,26.77,6.65,83.82,16.18,,42.21
10371,County_10371,Georgia,Suburban/Small City,14.92,1.48,60.75,39.25,7.07,24.74
26787,County_26787,Montana,Rural,9.78,5.98,66.26,33.74,8.56,25.33
34667,County_34667,North Dakota,Rural,11.44,6.17,75.99,24.01,6.3,22.69
30431,County_30431,New Jersey,Rural,15.54,3.84,73.96,26.04,6.51,23.84
20109,County_20109,Maryland,Rural,4.81,2.75,70.94,29.06,3.45,13.45
32809,County_32809,New York,Rural,,9.6,77.76,22.24,8.6,38.14
3983,County_3983,Arizona,Urban,23.66,5.19,81.54,18.46,5.74,35.95
7967,County_7967,Connecticut,Suburban/Small City,25.03,9.64,78.85,21.15,9.54,45.97
34673,County_34673,North Dakota,Rural,4.41,6.85,73.98,26.02,6.34,22.93
56315,County_56315,Other,Rural,9.78,1.62,76.73,23.27,5.55,20.37
12339,County_12339,Idaho,Suburban/Small City,22.22,6.43,83.92,16.08,11.18,44.18
50057,County_50057,Wyoming,Suburban/Small City,9.23,2.24,71.42,28.58,6.65,18.05
37981,County_37981,Oregon,Rural,12.38,6.64,76.78,23.22,6.51,28.55
38669,County_38669,Pennsylvania,Rural,13.38,7.02,74.44,25.56,9.84,
6465,County_6465,Colorado,Suburban/Small City,13.87,5.61,72.59,27.41,5.14,26.9
10625,County_10625,Georgia,Rural,11.45,6.67,74.23,25.77,9.71,30.18
12173,County_12173,Idaho,Urban,8.29,3.98,79.98,20.02,5.14,
41265,County_41265,South Dakota,Urban,22.14,6.48,70.9,29.1,6.65,40.1
26969,County_26969,Montana,Rural,13.19,5.33,73.33,26.67,6.79,27.24
41427,County_41427,South Dakota,Rural,21.12,6.3,79.95,20.05,6.47,33.7
49683,County_49683,Wisconsin,Urban,20.8,6.11,82.91,17.09,7.6,30.76
31717,County_31717,New Mexico,Rural,14.8,3.58,77.64,22.36,8.38,29.08
46185,County_46185,Virginia,Rural,21.03,8.58,86.55,13.45,8.57,39.68
8607,County_8607,Delaware,Rural,1.66,1.86,69.22,30.78,4.69,10.5
16097,County_16097,Kansas,Urban,14.21,6.32,71.31,28.69,8.59,30.45
52637,County_52637,Other,Rural,9.03,10.46,65.12,34.88,5.62,27.77
22729,County_22729,Michigan,Rural,13.96,8.67,78.81,21.19,8.73,33.17
14011,County_14011,Indiana,Urban,17.53,8.08,74.98,25.02,5.67,35.32
54367,County_54367,Other,Suburban/Small City,18.94,7.47,71.57,28.43,1.6,30.38
8799,County_8799,Delaware,Urban,17.29,3.72,80.06,19.94,6.04,31.74
18623,County_18623,Louisiana,Rural,10.69,8.36,59.43,40.57,8.78,28.86
30781,County_30781,New Jersey,Rural,12.93,8.47,79.68,20.32,10.26,31.59
22461,County_22461,Michigan,Urban,5.11,2.33,76.08,23.92,6.12,17.98
31453,County_31453,New Mexico,Rural,18.05,6.15,78.78,21.22,,35.26
48249,County_48249,West Virginia,Rural,16.91,10.37,76.18,23.82,6.73,40.95
15145,County_15145,Iowa,Rural,6.41,4.49,70.67,29.33,7.87,20.17
22631,County_22631,Michigan,Rural,11.71,3.12,63.68,36.32,5.77,24.34
19553,County_19553,Maine,Urban,10.42,7.6,75.28,24.72,6.5,26.96
28121,County_28121,Nevada,Urban,9.41,4.88,,32.08,,22.56
29689,County_29689,New Hampshire,Rural,14.42,8.23,64.43,35.57,7.93,34.09
9923,County_9923,Florida,Urban,22.63,7.99,89.91,10.09,7.27,42.85
56663,County_56663,Other,Rural,5.95,6.67,73.93,26.07,6.56,14.92
41247,County_41247,South Dakota,Rural,12.17,4.1,67.67,32.33,4.53,24.17
55887,County_55887,Other,Rural,19.15,6.16,76.54,23.46,5.32,32.62
38027,County_38027,Pennsylvania,Rural,12.33,10.68,84.48,15.52,4.78,25.33
4427,County_4427,Arkansas,Urban,16.78,8.34,90.05,9.95,7.33,38.69
35119,County_35119,Ohio,Rural,16.55,2.72,70.69,29.31,5.7,26.45
38653,County_38653,Pennsylvania,Rural,15.56,9.47,75.78,24.22,6.86,32.44
23177,County_23177,Minnesota,Rural,16.57,4.28,79.88,20.12,4.87,29.13
31783,County_31783,New Mexico,Rural,14.5,8.88,72.95,27.05,7.0,30.75
4113,County_4113,Arkansas,Rural,9.12,1.91,78.98,21.02,7.93,22.57
51749,County_51749,Other,Urban,11.05,5.62,74.83,25.17,9.82,28.53
56515,County_56515,Other,Rural,15.21,5.15,73.55,26.45,7.09,29.06
49045,County_49045,Wisconsin,Rural,1.92,,65.59,34.41,4.28,16.47
17503,County_17503,Kentucky,Urban,16.42,10.32,76.26,23.74,4.86,34.42
37695,County_37695,Oregon,Rural,12.38,5.91,65.68,34.32,3.37,21.69
54479,County_54479,Other,Rural,20.56,6.32,88.48,11.52,4.3,32.07
11423,County_11423,Hawaii,Rural,7.21,1.45,66.49,33.51,4.84,19.34
54907,County_54907,Other,Rural,23.78,10.55,86.78,13.22,5.82,41.95
4645,County_4645,Arkansas,Rural,10.65,4.7,72.64,27.36,5.67,25.86
32735,County_32735,New York,Suburban/Small City,7.49,6.74,80.24,19.76,5.83,22.49
29499,County_29499,New Hampshire,Suburban/Small City,19.06,8.02,80.81,19.19,7.47,37.87
41949,County_41949,South Dakota,Rural,10.07,10.89,73.21,26.79,2.86,21.64
1829,County_1829,Alabama,Rural,16.09,6.27,83.34,16.66,6.77,33.22
45565,County_45565,Vermont,Rural,18.83,4.76,68.98,31.02,8.17,35.31
42031,County_42031,Tennessee,Rural,13.52,1.98,70.61,29.39,1.86,17.84
33173,County_33173,North Carolina,Rural,20.78,7.19,74.97,25.03,5.46,36.24
39417,County_39417,Rhode Island,Urban,26.48,8.66,89.27,,3.31,42.03
12431,County_12431,Idaho,Urban,20.53,7.84,81.29,18.71,5.02,36.76
16537,County_16537,Kansas,Rural,17.25,10.26,75.92,24.08,4.76,37.95
22957,County_22957,Michigan,Urban,18.36,3.47,73.05,26.95,4.87,30.77
46863,County_46863,Virginia,Urban,19.58,8.38,77.48,22.52,2.89,31.85
40823,County_40823,South Carolina,Rural,13.94,8.82,74.19,25.81,3.55,27.77
51865,County_51865,Other,Suburban/Small City,10.61,5.02,78.86,21.14,2.78,18.69
17425,County_17425,Kentucky,Rural,15.53,8.48,81.35,18.65,5.48,34.58
31461,County_31461,New Mexico,Rural,16.53,10.03,82.54,17.46,5.37,30.44
44547,County_44547,Utah,Rural,17.44,9.29,82.18,17.82,7.48,36.92
43167,County_43167,Texas,Rural,23.92,12.27,,19.74,6.82,46.9
31765,County_31765,New Mexico,Urban,19.06,5.41,83.12,16.88,6.64,33.26
35255,County_35255,Ohio,Rural,16.63,3.19,69.63,30.37,7.03,26.86
23249,County_23249,Minnesota,Rural,25.78,7.11,90.21,9.79,10.94,41.46
31671,County_31671,New Mexico,Rural,9.27,1.51,71.73,28.27,6.94,
16245,County_16245,Kansas,Urban,18.85,8.79,79.16,20.84,7.5,38.44
15661,County_15661,Iowa,Rural,12.49,6.88,75.27,24.73,8.27,29.43
46973,County_46973,Virginia,Urban,17.64,7.41,74.73,25.27,5.89,32.53
34071,County_34071,North Dakota,Rural,10.72,6.81,57.94,42.06,5.96,27.17
25917,County_25917,Missouri,Suburban/Small City,21.96,3.84,74.42,25.58,7.26,33.44
7173,County_7173,Connecticut,Rural,10.14,1.11,69.11,30.89,6.61,22.76
20935,County_20935,Maryland,Urban,19.23,5.41,76.78,23.22,7.74,32.17
37569,County_37569,Oregon,Urban,9.66,7.37,77.83,22.17,2.44,24.57
56303,County_56303,Other,Rural,17.21,8.89,73.72,26.28,8.16,38.82
6505,County_6505,Colorado,Rural,8.86,4.91,83.78,16.22,4.2,18.25
25245,County_25245,Missouri,Rural,11.0,6.74,83.02,16.98,5.89,24.7
43543,County_43543,Texas,Rural,10.95,5.11,72.97,27.03,5.64,25.34
53625,County_53625,Other,Urban,21.55,6.64,83.61,16.39,3.79,33.46
44461,County_44461,Utah,Urban,17.23,6.78,75.62,24.38,,32.96
40499,County_40499,South Carolina,Rural,17.27,4.51,71.73,28.27,6.51,28.25
1817,County_1817,Alabama,Urban,15.32,5.86,72.89,27.11,6.07,29.11
22271,County_22271,Michigan,Urban,15.0,4.35,74.79,25.21,8.52,31.27
12263,County_12263,Idaho,Urban,13.79,2.4,79.42,20.58,7.57,25.49
9917,County_9917,Florida,Urban,4.19,4.55,76.05,23.95,,20.44
39983,County_39983,Rhode Island,Rural,25.07,8.11,84.46,15.54,7.99,42.59
10459,County_10459,Georgia,Urban,14.68,3.99,76.46,23.54,3.89,
11387,County_11387,Hawaii,Rural,11.78,6.44,68.84,31.16,6.85,27.84
19493,County_19493,Maine,Rural,17.35,0.92,64.8,35.2,10.45,25.61
16629,County_16629,Kansas,Rural,22.07,,83.3,16.7,5.33,33.2
1825,County_1825,Alabama,Rural,17.46,10.39,88.8,11.2,7.73,40.22
27947,County_27947,Nebraska,Urban,18.2,4.69,74.87,25.13,4.8,33.43
10487,County_10487,Georgia,Rural,13.67,3.09,78.82,21.18,6.1,27.85
42931,County_42931,Tennessee,Urban,18.19,10.52,85.48,14.52,4.01,32.97
22847,County_22847,Michigan,Rural,18.27,8.29,74.89,25.11,7.51,36.76
5643,County_5643,California,Rural,10.33,0.0,71.59,28.41,5.26,17.63
25929,County_25929,Missouri,Suburban/Small City,10.36,4.24,65.58,34.42,4.63,21.59
33641,County_33641,North Carolina,Urban,12.43,5.99,71.0,29.0,9.56,28.62
24835,County_24835,Mississippi,Suburban/Small City,18.72,3.32,78.36,21.64,4.63,28.7
23301,County_23301,Minnesota,Rural,17.64,4.03,68.33,31.67,7.98,32.32
39579,County_39579,Rhode Island,Urban,19.03,4.13,78.48,21.52,2.9,27.86
7401,County_7401,Connecticut,Rural,7.8,6.52,60.5,39.5,5.35,20.71
49551,County_49551,Wisconsin,Suburban/Small City,28.64,8.85,84.2,15.8,7.12,41.92
6445,County_6445,Colorado,Urban,9.96,3.25,63.85,36.15,1.95,17.38
44081,County_44081,Utah,Rural,20.47,,79.18,20.82,,31.38
45359,County_45359,Vermont,Urban,19.18,7.03,83.16,16.84,6.37,32.18
44721,County_44721,Utah,Rural,15.73,6.76,88.47,11.53,5.64,28.33
50489,County_50489,Wyoming,Urban,17.67,2.52,76.17,23.83,6.76,31.47
35795,County_35795,Ohio,Suburban/Small City,5.92,3.81,69.65,30.35,4.48,
16477,County_16477,Kansas,Rural,,5.39,76.66,23.34,7.22,32.76
55727,County_55727,Other,Rural,12.38,2.78,71.26,28.74,10.44,29.61
15849,County_15849,Iowa,Urban,9.85,4.34,72.45,27.55,4.86,18.66
3413,County_3413,Arizona,Rural,10.36,3.1,77.19,22.81,6.04,20.01
20659,County_20659,Maryland,Urban,17.09,4.8,73.04,26.96,5.37,27.9
30135,County_30135,New Jersey,Urban,22.52,7.25,85.17,14.83,5.74,38.13
13263,County_13263,Illinois,Urban,9.4,2.36,65.23,34.77,8.07,22.08
28907,County_28907,Nevada,Rural,14.98,,71.16,28.84,4.63,30.63
22845,County_22845,Michigan,Suburban/Small City,7.38,6.34,67.72,32.28,7.66,27.25
27057,County_27057,Nebraska,Urban,17.08,7.49,68.92,31.08,8.05,30.48
29979,County_29979,New Hampshire,Suburban/Small City,17.12,6.39,75.52,24.48,11.3,34.72
53405,County_53405,Other,Urban,6.62,,72.52,27.48,3.99,17.76
43191,County_43191,Texas,Rural,23.12,7.7,78.1,21.9,5.15,38.86
29109,County_29109,New Hampshire,Urban,21.66,3.64,72.9,27.1,4.91,33.56
42885,County_42885,Tennessee,Urban,4.89,3.12,77.3,22.7,2.76,11.22
46813,County_46813,Virginia,Urban,16.94,9.64,81.02,18.98,8.48,39.56
56611,County_56611,Other,Rural,12.4,4.91,74.38,25.62,8.19,27.84
56389,County_56389,Other,Rural,9.65,2.92,69.31,30.69,5.95,19.67
13639,County_13639,Illinois,Rural,9.16,3.11,69.43,30.57,7.29,21.38
32299,County_32299,New York,Rural,10.73,4.11,66.81,33.19,8.01,23.73
53437,County_53437,Other,Rural,,5.09,72.34,27.66,8.89,30.24
3863,County_3863,Arizona,Rural,14.2,4.35,72.13,27.87,8.91,28.72
3623,County_3623,Arizona,Urban,15.04,5.21,75.84,24.16,4.49,28.33
20195,County_20195,Maryland,Rural,12.28,0.0,,28.36,3.03,15.8
20217,County_20217,Maryland,Rural,13.36,2.36,76.26,23.74,8.1,26.27
55191,County_55191,Other,Suburban/Small City,12.1,5.95,71.96,28.04,8.49,28.88
45111,County_45111,Vermont,Urban,16.48,4.69,70.71,29.29,2.83,22.24
49413,County_49413,Wisconsin,Rural,,3.75,74.81,25.19,7.65,20.69
9433,County_9433,Florida,Urban,13.84,6.75,86.82,13.18,2.18,24.0
9447,County_9447,Florida,Rural,16.32,6.3,74.79,25.21,5.98,31.05
13503,County_13503,Illinois,Rural,12.4,8.5,90.76,9.24,8.59,29.54
49495,County_49495,Wisconsin,Urban,24.17,7.95,77.18,22.82,7.61,39.67
43743,County_43743,Texas,Rural,9.04,9.17,81.01,18.99,5.73,
54567,County_54567,Other,Rural,13.75,0.89,71.64,28.36,9.05,25.19
21635,County_21635,Massachusetts,Rural,21.73,1.79,87.18,12.82,4.66,
24337,County_24337,Mississippi,Urban,19.59,4.32,81.12,18.88,7.78,
46057,County_46057,Virginia,Rural,18.75,8.95,80.26,19.74,7.18,37.16
18375,County_18375,Louisiana,Urban,19.65,8.35,83.39,16.61,4.44,37.98
38785,County_38785,Pennsylvania,Rural,6.88,0.0,74.11,,4.11,16.37
6091,County_6091,Colorado,Rural,9.89,2.86,67.1,32.9,0.0,15.89
53963,County_53963,Other,Urban,20.29,7.44,78.4,21.6,4.71,35.17
20645,County_20645,Maryland,Rural,12.42,6.8,78.16,21.84,5.46,27.65
29107,County_29107,New Hampshire,Suburban/Small City,10.85,6.74,77.54,22.46,1.0,19.86
23565,County_23565,Minnesota,Urban,12.27,4.13,62.44,37.56,6.82,26.65
27163,County_27163,Nebraska,Urban,18.48,8.72,71.77,28.23,7.53,33.87
24645,County_24645,Mississippi,Rural,21.23,,68.97,31.03,7.28,37.18
10817,County_10817,Georgia,Rural,12.16,7.18,72.95,27.05,8.07,30.18
55055,County_55055,Other,Urban,15.75,5.98,75.55,24.45,,30.0
10715,County_10715,Georgia,Rural,21.69,7.83,79.81,20.19,9.25,41.75
48817,County_48817,West Virginia,Rural,17.98,8.88,73.72,26.28,7.33,38.99
14117,County_14117,Indiana,Rural,13.74,7.74,74.15,25.85,7.14,29.06
46873,County_46873,Virginia,Rural,19.09,5.37,87.72,12.28,9.28,36.51
54339,County_54339,Other,Rural,6.94,5.81,63.67,36.33,2.7,16.39
1279,County_1279,Alabama,Urban,9.94,0.88,67.52,32.48,5.11,22.37
16301,County_16301,Kansas,Urban,10.07,4.46,67.38,32.62,2.16,19.09
28243,County_28243,Nevada,Urban,7.78,1.13,78.38,21.62,3.68,16.95
25353,County_25353,Missouri,Rural,11.53,6.58,81.53,18.47,5.66,25.38
15573,County_15573,Iowa,Rural,9.8,0.52,59.32,40.68,8.97,25.08
34729,County_34729,North Dakota,Rural,8.15,3.34,68.35,31.65,7.7,19.42
18523,County_18523,Louisiana,Rural,14.87,5.15,81.02,18.98,4.57,26.69
31669,County_31669,New Mexico,Rural,22.13,10.43,77.11,22.89,6.99,41.08
10271,County_10271,Georgia,Rural,22.71,8.87,94.22,5.78,11.58,44.4
55621,County_55621,Other,Rural,7.22,2.51,69.36,30.64,4.12,16.66
55887,County_55887,Other,Urban,17.92,10.3,73.14,26.86,6.06,35.22
38841,County_38841,Pennsylvania,Rural,5.34,5.58,66.1,33.9,4.75,16.34
5405,County_5405,California,Urban,22.65,3.89,77.21,22.79,5.36,34.75
23153,County_23153,Minnesota,Rural,21.11,6.8,78.07,21.93,8.56,42.04
17523,County_17523,Kentucky,Rural,0.0,1.92,65.05,34.95,4.14,8.41
8775,County_8775,Delaware,Rural,6.9,4.56,66.81,33.19,6.61,17.06
27223,County_27223,Nebraska,Rural,12.31,4.19,67.47,32.53,6.7,27.31
41509,County_41509,South Dakota,Urban,18.07,6.67,69.58,30.42,5.74,36.88
52601,County_52601,Other,Rural,22.21,6.18,72.58,27.42,5.0,37.46
33973,County_33973,North Carolina,Urban,13.78,3.85,75.25,24.75,5.11,23.5
39317,County_39317,Rhode Island,Urban,16.68,6.39,83.54,16.46,5.13,31.2
50489,County_50489,Wyoming,Suburban/Small City,12.33,,84.0,16.0,7.28,22.76
51067,County_51067,Other,Rural,15.02,7.98,84.31,15.69,6.54,29.78
24819,County_24819,Mississippi,Rural,15.23,4.68,77.26,22.74,8.3,31.98
27775,County_27775,Nebraska,Rural,10.61,7.59,73.91,26.09,6.78,25.58
54963,County_54963,Other,Urban,22.65,3.62,72.31,27.69,5.15,30.49
27041,County_27041,Nebraska,Urban,13.64,3.05,74.94,25.06,1.29,20.56
56649,County_56649,Other,Rural,7.73,3.77,66.36,33.64,,18.51
18415,County_18415,Louisiana,Rural,25.64,8.89,78.09,21.91,6.48,43.86
45515,County_45515,Vermont,Rural,18.42,10.82,82.84,17.16,7.67,37.46
9223,County_9223,Florida,Suburban/Small City,25.74,12.99,,22.42,5.88,46.98
37317,County_37317,Oregon,Rural,19.03,9.2,69.5,30.5,7.48,37.35
29981,County_29981,New Hampshire,Rural,16.39,9.56,81.03,18.97,8.24,37.21
6211,County_6211,Colorado,Rural,17.67,4.4,81.43,18.57,6.21,31.19
10477,County_10477,Georgia,Rural,15.13,6.98,82.46,17.54,7.99,31.48
9835,County_9835,Florida,Rural,25.32,9.25,73.66,26.34,7.4,41.58
32241,County_32241,New York,Rural,22.21,9.37,72.36,27.64,8.38,40.21
54903,County_54903,Other,Urban,20.97,14.12,78.62,21.38,7.62,42.14
45947,County_45947,Vermont,Rural,11.06,0.6,61.47,38.53,6.37,21.98
9787,County_9787,Florida,Rural,23.55,7.89,68.64,31.36,7.19,41.65
44011,County_44011,Utah,Urban,14.99,7.67,64.69,35.31,6.58,27.6
41863,County_41863,South Dakota,Rural,9.36,4.96,72.99,27.01,8.15,24.12
35433,County_35433,Ohio,Urban,10.52,5.51,75.52,24.48,6.38,26.74
7401,County_7401,Connecticut,Rural,4.42,0.0,64.13,35.87,2.43,10.93
53577,County_53577,Other,Rural,1.21,4.8,69.01,30.99,5.07,14.52
50495,County_50495,Wyoming,Rural,19.4,8.69,75.68,24.32,3.69,35.43
38425,County_38425,Pennsylvania,Urban,6.25,,70.95,29.05,4.4,23.46
51053,County_51053,Other,Urban,27.17,8.99,90.97,,9.06,48.79
43589,County_43589,Texas,Urban,18.97,6.86,64.94,35.06,,36.3
36921,County_36921,Oklahoma,Urban,10.51,1.19,59.09,40.91,7.35,27.5
19853,County_19853,Maine,Rural,,5.39,73.34,26.66,6.33,32.43
41763,County_41763,South Dakota,Rural,21.9,6.03,,20.72,4.43,31.42
6749,County_6749,Colorado,Rural,7.19,0.64,68.13,31.87,2.04,11.66
9691,County_9691,Florida,Urban,12.16,5.89,74.58,25.42,7.23,25.35
20341,County_20341,Maryland,Urban,18.01,1.87,82.39,17.61,7.57,32.7
48217,County_48217,West Virginia,Rural,13.83,8.22,68.64,31.36,6.09,29.9
40611,County_40611,South Carolina,Rural,,4.3,70.88,29.12,7.07,27.0
13961,County_13961,Illinois,Rural,11.62,3.64,78.42,21.58,9.12,24.47
3987,County_3987,Arizona,Rural,8.9,0.0,68.05,31.95,0.94,13.2
32871,County_32871,New York,Rural,13.31,6.01,75.49,24.51,,29.52
35963,County_35963,Ohio,Rural,17.78,6.6,80.68,19.32,8.21,
22401,County_22401,Michigan,Urban,21.98,5.27,78.28,21.72,5.02,38.21
17613,County_17613,Kentucky,Suburban/Small City,19.42,5.77,74.22,25.78,8.03,37.27
22329,County_22329,Michigan,Rural,19.81,10.54,71.12,28.88,9.47,38.91
42313,County_42313,Tennessee,Rural,10.03,0.0,67.13,32.87,5.84,19.34
48061,County_48061,West Virginia,Rural,30.51,6.75,91.33,8.67,5.51,44.6
2217,County_2217,Alaska,Rural,8.66,6.77,74.28,,9.38,28.27
15453,County_15453,Iowa,Rural,10.1,2.97,65.87,34.13,9.11,23.65
56365,County_56365,Other,Urban,20.37,8.32,76.35,23.65,6.28,36.43
37599,County_37599,Oregon,Rural,17.97,6.65,82.49,17.51,8.9,35.93
2817,County_2817,Alaska,Rural,7.99,6.85,63.08,36.92,8.01,22.42
8777,County_8777,Delaware,Rural,4.39,2.3,64.55,35.45,5.18,12.65
32497,County_32497,New York,Rural,5.59,6.69,62.75,37.25,6.95,19.66
27981,County_27981,Nebraska,Rural,11.91,6.27,73.45,26.55,3.96,24.46
55723,County_55723,Other,Urban,7.5,0.0,74.37,25.63,6.72,19.23
50537,County_50537,Wyoming,Urban,2.2,4.29,79.45,20.55,5.08,12.24
27905,County_27905,Nebraska,Rural,17.98,3.19,67.05,32.95,3.24,28.13
47537,County_47537,Washington,Rural,20.11,8.19,66.95,33.05,8.95,37.23
40071,County_40071,South Carolina,Rural,16.3,4.1,71.32,28.68,4.39,26.92
49971,County_49971,Wisconsin,Urban,20.44,4.56,83.06,16.94,10.95,34.72
13521,County_13521,Illinois,Rural,18.61,3.86,,30.09,7.38,30.12
54147,County_54147,Other,Urban,19.2,5.98,85.59,14.41,6.33,30.35
8185,County_8185,Delaware,Rural,19.05,9.79,81.05,18.95,7.88,41.19
49061,County_49061,Wisconsin,Urban,12.85,4.9,60.81,39.19,4.8,23.73
50845,County_50845,Wyoming,Rural,20.62,8.51,76.84,23.16,6.95,38.82
49029,County_49029,Wisconsin,Suburban/Small City,21.11,7.54,81.95,18.05,6.69,37.38
16493,County_16493,Kansas,Urban,11.21,5.66,75.66,24.34,8.63,29.9
21223,County_21223,Massachusetts,Rural,9.26,6.27,66.27,33.73,7.16,22.95
49339,County_49339,Wisconsin,Rural,2.37,0.0,63.52,36.48,3.42,8.26
50393,County_50393,Wyoming,Urban,12.16,8.23,64.0,36.0,0.61,23.46
25807,County_25807,Missouri,Rural,23.12,3.79,87.7,12.3,4.18,35.43
51569,County_51569,Other,Urban,13.69,7.48,71.04,28.96,4.49,29.6
40665,County_40665,South Carolina,Rural,19.5,5.2,73.7,26.3,6.17,33.26
2011,County_2011,Alaska,Rural,12.91,4.46,78.47,21.53,8.23,22.84
3505,County_3505,Arizona,Suburban/Small City,11.75,7.49,73.79,26.21,6.79,26.58
23551,County_23551,Minnesota,Rural,14.65,4.37,79.44,20.56,4.64,26.12
23273,County_23273,Minnesota,Urban,20.57,11.82,82.5,17.5,5.36,
11113,County_11113,Hawaii,Rural,6.75,5.08,60.05,39.95,4.06,17.16
33783,County_33783,North Carolina,Rural,16.51,1.39,66.43,33.57,2.58,16.76
36329,County_36329,Oklahoma,Rural,8.97,1.0,61.49,38.51,6.47,18.91
45091,County_45091,Vermont,Urban,19.35,8.07,80.84,19.16,7.66,36.32
10583,County_10583,Georgia,Urban,23.35,5.95,84.42,15.58,7.84,43.93
48403,County_48403,West Virginia,Urban,17.9,11.16,74.11,25.89,7.67,37.92
12343,County_12343,Idaho,Rural,21.63,8.06,78.34,21.66,8.16,41.03
2817,County_2817,Alaska,Rural,6.36,7.89,71.08,28.92,4.93,18.95
37965,County_37965,Oregon,Suburban/Small City,25.44,6.94,84.68,15.32,9.68,41.67
27379,County_27379,Nebraska,Suburban/Small City,8.76,6.23,61.16,38.84,4.76,22.19
40207,County_40207,South Carolina,Rural,12.49,6.77,76.86,23.14,6.96,28.16
4097,County_4097,Arkansas,Rural,2.52,5.99,66.79,33.21,4.05,18.37
3417,County_3417,Arizona,Rural,11.73,12.58,75.33,24.67,11.15,36.63
51629,County_51629,Other,Urban,16.26,7.74,83.64,16.36,8.19,36.2
33019,County_33019,North Carolina,Urban,12.39,3.73,76.76,23.24,0.0,17.34
34105,County_34105,North Dakota,Suburban/Small City,12.93,2.18,72.17,27.83,7.47,25.08
39165,County_39165,Rhode Island,Rural,18.13,9.66,81.81,18.19,4.93,33.82
35495,County_35495,Ohio,Urban,10.14,0.31,63.61,36.39,6.07,19.13
7639,County_7639,Connecticut,Urban,13.59,3.19,72.95,27.05,1.53,17.06
32711,County_32711,New York,Urban,14.07,4.9,70.15,29.85,5.03,25.83
11571,County_11571,Hawaii,Rural,21.4,11.91,81.74,18.26,6.77,
6465,County_6465,Colorado,Urban,26.32,9.49,84.94,15.06,7.51,48.07
49955,County_49955,Wisconsin,Urban,17.46,8.42,66.85,33.15,6.13,33.54
38251,County_38251,Pennsylvania,Urban,12.03,4.35,72.76,,,15.51
34105,County_34105,North Dakota,Rural,22.7,8.82,78.63,21.37,6.08,41.33
13495,County_13495,Illinois,Urban,14.52,4.94,66.92,33.08,5.39,26.89
23375,County_23375,Minnesota,Urban,13.53,8.63,73.23,26.77,1.22,28.92
17885,County_17885,Kentucky,Urban,5.04,,68.83,31.17,8.82,20.89
6083,County_6083,Colorado,Rural,18.87,3.19,67.75,32.25,5.68,30.79
36861,County_36861,Oklahoma,Urban,19.45,6.98,77.7,22.3,6.41,36.94
8843,County_8843,Delaware,Urban,,5.89,67.77,32.23,10.96,37.75
50889,County_50889,Wyoming,Rural,,8.6,88.11,11.89,13.17,44.69
19971,County_19971,Maine,Urban,6.8,0.37,62.81,37.19,3.65,9.94
53901,County_53901,Other,Rural,6.96,6.23,68.38,31.62,5.54,20.0
37221,County_37221,Oregon,Suburban/Small City,19.8,7.76,80.29,19.71,7.76,
35291,County_35291,Ohio,Rural,16.12,6.45,71.41,28.59,5.33,30.24
9251,County_9251,Florida,Rural,24.94,5.79,89.7,10.3,7.82,38.78
50781,County_50781,Wyoming,Urban,17.61,8.55,79.16,20.84,5.17,32.22
18917,County_18917,Louisiana,Rural,13.97,5.71,74.06,25.94,2.96,24.09
1491,County_1491,Alabama,Rural,13.27,5.14,65.3,,8.65,26.38
9473,County_9473,Florida,Rural,13.9,9.43,76.95,23.05,7.54,34.98
38877,County_38877,Pennsylvania,Urban,14.99,7.0,79.12,20.88,7.02,30.5
34619,County_34619,North Dakota,Suburban/Small City,18.63,6.64,81.82,18.18,9.21,38.11
46715,County_46715,Virginia,Urban,18.15,3.31,68.14,31.86,7.1,31.75
27921,County_27921,Nebraska,Rural,7.67,3.36,,26.98,4.85,18.67
16159,County_16159,Kansas,Urban,12.57,6.31,73.87,26.13,3.34,24.55
36661,County_36661,Oklahoma,Urban,17.13,8.65,84.89,15.11,6.73,37.35
40095,County_40095,South Carolina,Rural,,4.52,78.93,21.07,5.88,24.61
22655,County_22655,Michigan,Suburban/Small City,,2.75,,28.48,7.08,12.87
20935,County_20935,Maryland,Urban,15.87,8.31,84.33,15.67,5.68,30.96
47411,County_47411,Washington,Urban,16.11,4.78,72.42,27.58,5.63,27.4
49053,County_49053,Wisconsin,Rural,13.13,2.98,68.51,31.49,6.38,21.57
