COUNTYFIPS,COUNTY,STATE,rucc_2013_code,community_type,nchs_urban_rural_code
5405,County_5405,California,2.0,Urban,2.0
23153,County_23153,Minnesota,7.0,Rural,5.0
17523,County_17523,Kentucky,9.0,Rural,6.0
8775,County_8775,Delaware,9.0,Rural,6.0
27223,County_27223,Nebraska,6.0,Rural,5.0
41509,County_41509,South Dakota,2.0,Urban,2.0
52601,County_52601,Other,7.0,Rural,5.0
33973,County_33973,North Carolina,1.0,Urban,1.0
39317,County_39317,Rhode Island,3.0,Urban,3.0
50489,County_50489,Wyoming,5.0,Suburban/Small City,4.0
51067,County_51067,Other,6.0,Rural,5.0
24819,County_24819,Mississippi,9.0,Rural,6.0
27775,County_27775,Nebraska,8.0,Rural,6.0
54963,County_54963,Other,2.0,Urban,2.0
27041,County_27041,Nebraska,1.0,Urban,1.0
56649,County_56649,Other,8.0,Rural,6.0
18415,County_18415,Louisiana,7.0,Rural,5.0
45515,County_45515,Vermont,6.0,Rural,5.0
9223,County_9223,Florida,5.0,Suburban/Small City,4.0
37317,County_37317,Oregon,9.0,Rural,6.0
29981,County_29981,New Hampshire,9.0,Rural,6.0
6211,County_6211,Colorado,6.0,Rural,5.0
10477,County_10477,Georgia,8.0,Rural,6.0
9835,County_9835,Florida,8.0,Rural,6.0
32241,County_32241,New York,9.0,Rural,6.0
54903,County_54903,Other,1.0,Urban,1.0
45947,County_45947,Vermont,6.0,Rural,5.0
9787,County_9787,Florida,9.0,Rural,6.0
44011,County_44011,Utah,3.0,Urban,3.0
41863,County_41863,South Dakota,6.0,Rural,5.0
35433,County_35433,Ohio,3.0,Urban,3.0
7401,County_7401,Connecticut,8.0,Rural,6.0
53577,County_53577,Other,8.0,Rural,6.0
50495,County_50495,Wyoming,9.0,Rural,6.0
38425,County_38425,Pennsylvania,2.0,Urban,2.0
51053,County_51053,Other,1.0,Urban,1.0
43589,County_43589,Texas,3.0,Urban,3.0
36921,County_36921,Oklahoma,2.0,Urban,2.0
19853,County_19853,Maine,7.0,Rural,5.0
41763,County_41763,South Dakota,9.0,Rural,6.0
6749,County_6749,Colorado,8.0,Rural,6.0
9691,County_9691,Florida,1.0,Urban,1.0
20341,County_20341,Maryland,3.0,Urban,3.0
48217,County_48217,West Virginia,6.0,Rural,5.0
40611,County_40611,South Carolina,8.0,Rural,6.0
13961,County_13961,Illinois,7.0,Rural,5.0
3987,County_3987,Arizona,8.0,Rural,6.0
32871,County_32871,New York,9.0,Rural,6.0
35963,County_35963,Ohio,9.0,Rural,6.0
22401,County_22401,Michigan,2.0,Urban,2.0
17613,County_17613,Kentucky,4.0,Suburban/Small City,4.0
22329,County_22329,Michigan,8.0,Rural,6.0
42313,County_42313,Tennessee,9.0,Rural,6.0
48061,County_48061,West Virginia,7.0,Rural,5.0
2217,County_2217,Alaska,8.0,Rural,6.0
15453,County_15453,Iowa,8.0,Rural,6.0
56365,County_56365,Other,1.0,Urban,1.0
37599,County_37599,Oregon,9.0,Rural,6.0
2817,County_2817,Alaska,9.0,Rural,6.0
8777,County_8777,Delaware,7.0,Rural,5.0
32497,County_32497,New York,9.0,Rural,6.0
27981,County_27981,Nebraska,6.0,Rural,5.0
55723,County_55723,Other,3.0,Urban,3.0
50537,County_50537,Wyoming,2.0,Urban,2.0
27905,County_27905,Nebraska,7.0,Rural,5.0
47537,County_47537,Washington,6.0,Rural,5.0
40071,County_40071,South Carolina,9.0,Rural,6.0
49971,County_49971,Wisconsin,2.0,Urban,2.0
13521,County_13521,Illinois,8.0,Rural,6.0
54147,County_54147,Other,2.0,Urban,2.0
8185,County_8185,Delaware,8.0,Rural,6.0
49061,County_49061,Wisconsin,1.0,Urban,1.0
50845,County_50845,Wyoming,6.0,Rural,5.0
49029,County_49029,Wisconsin,5.0,Suburban/Small City,4.0
16493,County_16493,Kansas,2.0,Urban,2.0
21223,County_21223,Massachusetts,7.0,Rural,5.0
49339,County_49339,Wisconsin,6.0,Rural,5.0
50393,County_50393,Wyoming,3.0,Urban,3.0
25807,County_25807,Missouri,7.0,Rural,5.0
51569,County_51569,Other,3.0,Urban,3.0
40665,County_40665,South Carolina,9.0,Rural,6.0
2011,County_2011,Alaska,9.0,Rural,6.0
3505,County_3505,Arizona,5.0,Suburban/Small City,4.0
23551,County_23551,Minnesota,7.0,Rural,5.0
23273,County_23273,Minnesota,2.0,Urban,2.0
11113,County_11113,Hawaii,8.0,Rural,6.0
33783,County_33783,North Carolina,8.0,Rural,6.0
36329,County_36329,Oklahoma,6.0,Rural,5.0
45091,County_45091,Vermont,3.0,Urban,3.0
10583,County_10583,Georgia,1.0,Urban,1.0
48403,County_48403,West Virginia,1.0,Urban,1.0
12343,County_12343,Idaho,7.0,Rural,5.0
2817,County_2817,Alaska,9.0,Rural,6.0
37965,County_37965,Oregon,5.0,Suburban/Small City,4.0
27379,County_27379,Nebraska,4.0,Suburban/Small City,4.0
40207,County_40207,South Carolina,7.0,Rural,5.0
4097,County_4097,Arkansas,8.0,Rural,6.0
3417,County_3417,Arizona,8.0,Rural,6.0
51629,County_51629,Other,1.0,Urban,1.0
33019,County_33019,North Carolina,2.0,Urban,2.0
34105,County_34105,North Dakota,5.0,Suburban/Small City,4.0
39165,County_39165,Rhode Island,9.0,Rural,6.0
35495,County_35495,Ohio,2.0,Urban,2.0
7639,County_7639,Connecticut,3.0,Urban,3.0
32711,County_32711,New York,2.0,Urban,2.0
11571,County_11571,Hawaii,8.0,Rural,6.0
6465,County_6465,Colorado,3.0,Urban,3.0
49955,County_49955,Wisconsin,1.0,Urban,1.0
38251,County_38251,Pennsylvania,1.0,Urban,1.0
34105,County_34105,North Dakota,7.0,Rural,5.0
13495,County_13495,Illinois,1.0,Urban,1.0
23375,County_23375,Minnesota,2.0,Urban,2.0
17885,County_17885,Kentucky,1.0,Urban,1.0
6083,County_6083,Colorado,7.0,Rural,5.0
36861,County_36861,Oklahoma,2.0,Urban,2.0
8843,County_8843,Delaware,3.0,Urban,3.0
50889,County_50889,Wyoming,8.0,Rural,6.0
19971,County_19971,Maine,3.0,Urban,3.0
53901,County_53901,Other,6.0,Rural,5.0
37221,County_37221,Oregon,5.0,Suburban/Small City,4.0
35291,County_35291,Ohio,6.0,Rural,5.0
9251,County_9251,Florida,6.0,Rural,5.0
50781,County_50781,Wyoming,3.0,Urban,3.0
18917,County_18917,Louisiana,6.0,Rural,5.0
1491,County_1491,Alabama,6.0,Rural,5.0
9473,County_9473,Florida,8.0,Rural,6.0
38877,County_38877,Pennsylvania,3.0,Urban,3.0
34619,County_34619,North Dakota,5.0,Suburban/Small City,4.0
46715,County_46715,Virginia,1.0,Urban,1.0
27921,County_27921,Nebraska,8.0,Rural,6.0
16159,County_16159,Kansas,2.0,Urban,2.0
36661,County_36661,Oklahoma,3.0,Urban,3.0
40095,County_40095,South Carolina,6.0,Rural,5.0
22655,County_22655,Michigan,5.0,Suburban/Small City,4.0
20935,County_20935,Maryland,1.0,Urban,1.0
47411,County_47411,Washington,2.0,Urban,2.0
49053,County_49053,Wisconsin,8.0,Rural,6.0
11917,County_11917,Hawaii,2.0,Urban,2.0
52111,County_52111,Other,3.0,Urban,3.0
31145,County_31145,New Mexico,5.0,Suburban/Small City,4.0
15919,County_15919,Iowa,2.0,Urban,2.0
38405,County_38405,Pennsylvania,9.0,Rural,6.0
11743,County_11743,Hawaii,6.0,Rural,5.0
43317,County_43317,Texas,9.0,Rural,6.0
41563,County_41563,South Dakota,8.0,Rural,6.0
21007,County_21007,Massachusetts,3.0,Urban,3.0
39093,County_39093,Rhode Island,1.0,Urban,1.0
30803,County_30803,New Jersey,9.0,Rural,6.0
2041,County_2041,Alaska,2.0,Urban,2.0
30155,County_30155,New Jersey,2.0,Urban,2.0
23289,County_23289,Minnesota,8.0,Rural,6.0
17221,County_17221,Kentucky,7.0,Rural,5.0
9895,County_9895,Florida,6.0,Rural,5.0
42191,County_42191,Tennessee,3.0,Urban,3.0
45367,County_45367,Vermont,8.0,Rural,6.0
19223,County_19223,Maine,7.0,Rural,5.0
26905,County_26905,Montana,7.0,Rural,5.0
29275,County_29275,New Hampshire,8.0,Rural,6.0
2021,County_2021,Alaska,7.0,Rural,5.0
45151,County_45151,Vermont,8.0,Rural,6.0
33213,County_33213,North Carolina,4.0,Suburban/Small City,4.0
37639,County_37639,Oregon,2.0,Urban,2.0
7359,County_7359,Connecticut,7.0,Rural,5.0
7147,County_7147,Connecticut,9.0,Rural,6.0
17989,County_17989,Kentucky,2.0,Urban,2.0
37483,County_37483,Oregon,7.0,Rural,5.0
23253,County_23253,Minnesota,9.0,Rural,6.0
1701,County_1701,Alabama,1.0,Urban,1.0
50651,County_50651,Wyoming,5.0,Suburban/Small City,4.0
44831,County_44831,Utah,6.0,Rural,5.0
16157,County_16157,Kansas,9.0,Rural,6.0
4199,County_4199,Arkansas,1.0,Urban,1.0
8163,County_8163,Delaware,5.0,Suburban/Small City,4.0
3275,County_3275,Arizona,7.0,Rural,5.0
13627,County_13627,Illinois,3.0,Urban,3.0
21889,County_21889,Massachusetts,4.0,Suburban/Small City,4.0
51935,County_51935,Other,9.0,Rural,6.0
47749,County_47749,Washington,3.0,Urban,3.0
29653,County_29653,New Hampshire,9.0,Rural,6.0
10481,County_10481,Georgia,2.0,Urban,2.0
53733,County_53733,Other,4.0,Suburban/Small City,4.0
39667,County_39667,Rhode Island,7.0,Rural,5.0
14583,County_14583,Indiana,1.0,Urban,1.0
23919,County_23919,Minnesota,7.0,Rural,5.0
43657,County_43657,Texas,1.0,Urban,1.0
53115,County_53115,Other,9.0,Rural,6.0
36777,County_36777,Oklahoma,7.0,Rural,5.0
35487,County_35487,Ohio,8.0,Rural,6.0
26543,County_26543,Montana,4.0,Suburban/Small City,4.0
27161,County_27161,Nebraska,1.0,Urban,1.0
22769,County_22769,Michigan,9.0,Rural,6.0
20361,County_20361,Maryland,1.0,Urban,1.0
23703,County_23703,Minnesota,2.0,Urban,2.0
33749,County_33749,North Carolina,9.0,Rural,6.0
18767,County_18767,Louisiana,3.0,Urban,3.0
21785,County_21785,Massachusetts,5.0,Suburban/Small City,4.0
35133,County_35133,Ohio,8.0,Rural,6.0
15763,County_15763,Iowa,8.0,Rural,6.0
53917,County_53917,Other,8.0,Rural,6.0
32239,County_32239,New York,8.0,Rural,6.0
35359,County_35359,Ohio,3.0,Urban,3.0
11803,County_11803,Hawaii,2.0,Urban,2.0
4371,County_4371,Arkansas,6.0,Rural,5.0
41745,County_41745,South Dakota,3.0,Urban,3.0
7167,County_7167,Connecticut,8.0,Rural,6.0
54403,County_54403,Other,6.0,Rural,5.0
45903,County_45903,Vermont,3.0,Urban,3.0
7667,County_7667,Connecticut,8.0,Rural,6.0
7455,County_7455,Connecticut,3.0,Urban,3.0
7589,County_7589,Connecticut,8.0,Rural,6.0
51839,County_51839,Other,5.0,Suburban/Small City,4.0
13221,County_13221,Illinois,2.0,Urban,2.0
16051,County_16051,Kansas,6.0,Rural,5.0
42089,County_42089,Tennessee,6.0,Rural,5.0
52163,County_52163,Other,7.0,Rural,5.0
35305,County_35305,Ohio,7.0,Rural,5.0
8285,County_8285,Delaware,8.0,Rural,6.0
11431,County_11431,Hawaii,8.0,Rural,6.0
21245,County_21245,Massachusetts,9.0,Rural,6.0
14707,County_14707,Indiana,6.0,Rural,5.0
13281,County_13281,Illinois,8.0,Rural,6.0
53403,County_53403,Other,5.0,Suburban/Small City,4.0
38453,County_38453,Pennsylvania,9.0,Rural,6.0
44133,County_44133,Utah,7.0,Rural,5.0
22537,County_22537,Michigan,1.0,Urban,1.0
41763,County_41763,South Dakota,3.0,Urban,3.0
30415,County_30415,New Jersey,7.0,Rural,5.0
22481,County_22481,Michigan,8.0,Rural,6.0
31873,County_31873,New Mexico,6.0,Rural,5.0
8279,County_8279,Delaware,2.0,Urban,2.0
41885,County_41885,South Dakota,9.0,Rural,6.0
14781,County_14781,Indiana,8.0,Rural,6.0
4487,County_4487,Arkansas,8.0,Rural,6.0
10437,County_10437,Georgia,8.0,Rural,6.0
21133,County_21133,Massachusetts,3.0,Urban,3.0
5663,County_5663,California,8.0,Rural,6.0
16615,County_16615,Kansas,9.0,Rural,6.0
45609,County_45609,Vermont,5.0,Suburban/Small City,4.0
14883,County_14883,Indiana,8.0,Rural,6.0
6921,County_6921,Colorado,4.0,Suburban/Small City,4.0
51261,County_51261,Other,9.0,Rural,6.0
14279,County_14279,Indiana,3.0,Urban,3.0
1389,County_1389,Alabama,1.0,Urban,1.0
32177,County_32177,New York,2.0,Urban,2.0
47757,County_47757,Washington,5.0,Suburban/Small City,4.0
28425,County_28425,Nevada,5.0,Suburban/Small City,4.0
27979,County_27979,Nebraska,9.0,Rural,6.0
7921,County_7921,Connecticut,3.0,Urban,3.0
16987,County_16987,Kansas,6.0,Rural,5.0
48883,County_48883,West Virginia,1.0,Urban,1.0
22901,County_22901,Michigan,7.0,Rural,5.0
49549,County_49549,Wisconsin,7.0,Rural,5.0
33913,County_33913,North Carolina,8.0,Rural,6.0
22085,County_22085,Michigan,9.0,Rural,6.0
45499,County_45499,Vermont,7.0,Rural,5.0
4925,County_4925,Arkansas,9.0,Rural,6.0
34003,County_34003,North Dakota,3.0,Urban,3.0
26273,County_26273,Montana,4.0,Suburban/Small City,4.0
28799,County_28799,Nevada,9.0,Rural,6.0
55417,County_55417,Other,9.0,Rural,6.0
29597,County_29597,New Hampshire,2.0,Urban,2.0
39125,County_39125,Rhode Island,8.0,Rural,6.0
2309,County_2309,Alaska,8.0,Rural,6.0
50919,County_50919,Wyoming,3.0,Urban,3.0
53733,County_53733,Other,1.0,Urban,1.0
2671,County_2671,Alaska,9.0,Rural,6.0
6011,County_6011,Colorado,8.0,Rural,6.0
27765,County_27765,Nebraska,3.0,Urban,3.0
39437,County_39437,Rhode Island,5.0,Suburban/Small City,4.0
10629,County_10629,Georgia,9.0,Rural,6.0
47859,County_47859,Washington,9.0,Rural,6.0
1277,County_1277,Alabama,4.0,Suburban/Small City,4.0
51375,County_51375,Other,9.0,Rural,6.0
48699,County_48699,West Virginia,8.0,Rural,6.0
38737,County_38737,Pennsylvania,7.0,Rural,5.0
32109,County_32109,New York,9.0,Rural,6.0
34121,County_34121,North Dakota,9.0,Rural,6.0
16521,County_16521,Kansas,7.0,Rural,5.0
36155,County_36155,Oklahoma,1.0,Urban,1.0
5297,County_5297,California,2.0,Urban,2.0
7713,County_7713,Connecticut,7.0,Rural,5.0
3783,County_3783,Arizona,3.0,Urban,3.0
29941,County_29941,New Hampshire,5.0,Suburban/Small City,4.0
14505,County_14505,Indiana,6.0,Rural,5.0
9163,County_9163,Florida,3.0,Urban,3.0
34189,County_34189,North Dakota,7.0,Rural,5.0
34643,County_34643,North Dakota,9.0,Rural,6.0
43713,County_43713,Texas,6.0,Rural,5.0
34751,County_34751,North Dakota,4.0,Suburban/Small City,4.0
37151,County_37151,Oregon,9.0,Rural,6.0
27349,County_27349,Nebraska,6.0,Rural,5.0
31591,County_31591,New Mexico,5.0,Suburban/Small City,4.0
25193,County_25193,Missouri,5.0,Suburban/Small City,4.0
31391,County_31391,New Mexico,2.0,Urban,2.0
25481,County_25481,Missouri,1.0,Urban,1.0
32491,County_32491,New York,1.0,Urban,1.0
37457,County_37457,Oregon,8.0,Rural,6.0
18117,County_18117,Louisiana,7.0,Rural,5.0
10147,County_10147,Georgia,2.0,Urban,2.0
7683,County_7683,Connecticut,2.0,Urban,2.0
51985,County_51985,Other,8.0,Rural,6.0
22231,County_22231,Michigan,2.0,Urban,2.0
18777,County_18777,Louisiana,9.0,Rural,6.0
19011,County_19011,Maine,9.0,Rural,6.0
45023,County_45023,Vermont,3.0,Urban,3.0
48067,County_48067,West Virginia,2.0,Urban,2.0
44889,County_44889,Utah,8.0,Rural,6.0
40029,County_40029,South Carolina,7.0,Rural,5.0
31911,County_31911,New Mexico,4.0,Suburban/Small City,4.0
47415,County_47415,Washington,7.0,Rural,5.0
12863,County_12863,Idaho,8.0,Rural,6.0
36613,County_36613,Oklahoma,1.0,Urban,1.0
35307,County_35307,Ohio,9.0,Rural,6.0
39313,County_39313,Rhode Island,8.0,Rural,6.0
55321,County_55321,Other,1.0,Urban,1.0
4479,County_4479,Arkansas,4.0,Suburban/Small City,4.0
25507,County_25507,Missouri,2.0,Urban,2.0
31955,County_31955,New Mexico,8.0,Rural,6.0
10087,County_10087,Georgia,7.0,Rural,5.0
52321,County_52321,Other,2.0,Urban,2.0
2761,County_2761,Alaska,4.0,Suburban/Small City,4.0
2151,County_2151,Alaska,9.0,Rural,6.0
35131,County_35131,Ohio,7.0,Rural,5.0
31135,County_31135,New Mexico,7.0,Rural,5.0
19361,County_19361,Maine,2.0,Urban,2.0
18641,County_18641,Louisiana,9.0,Rural,6.0
42569,County_42569,Tennessee,2.0,Urban,2.0
51679,County_51679,Other,7.0,Rural,5.0
22313,County_22313,Michigan,8.0,Rural,6.0
13831,County_13831,Illinois,8.0,Rural,6.0
13173,County_13173,Illinois,7.0,Rural,5.0
29171,County_29171,New Hampshire,8.0,Rural,6.0
28927,County_28927,Nevada,8.0,Rural,6.0
41519,County_41519,South Dakota,9.0,Rural,6.0
10057,County_10057,Georgia,8.0,Rural,6.0
10915,County_10915,Georgia,7.0,Rural,5.0
37189,County_37189,Oregon,7.0,Rural,5.0
12069,County_12069,Idaho,3.0,Urban,3.0
20131,County_20131,Maryland,9.0,Rural,6.0
25847,County_25847,Missouri,8.0,Rural,6.0
48893,County_48893,West Virginia,9.0,Rural,6.0
38167,County_38167,Pennsylvania,6.0,Rural,5.0
3083,County_3083,Arizona,1.0,Urban,1.0
25249,County_25249,Missouri,2.0,Urban,2.0
37317,County_37317,Oregon,2.0,Urban,2.0
17645,County_17645,Kentucky,9.0,Rural,6.0
11767,County_11767,Hawaii,1.0,Urban,1.0
34583,County_34583,North Dakota,6.0,Rural,5.0
18495,County_18495,Louisiana,1.0,Urban,1.0
34135,County_34135,North Dakota,8.0,Rural,6.0
41725,County_41725,South Dakota,1.0,Urban,1.0
3153,County_3153,Arizona,4.0,Suburban/Small City,4.0
37251,County_37251,Oregon,9.0,Rural,6.0
8117,County_8117,Delaware,6.0,Rural,5.0
44073,County_44073,Utah,8.0,Rural,6.0
45233,County_45233,Vermont,3.0,Urban,3.0
13425,County_13425,Illinois,8.0,Rural,6.0
38363,County_38363,Pennsylvania,7.0,Rural,5.0
29183,County_29183,New Hampshire,1.0,Urban,1.0
55563,County_55563,Other,6.0,Rural,5.0
31363,County_31363,New Mexico,8.0,Rural,6.0
56613,County_56613,Other,7.0,Rural,5.0
21545,County_21545,Massachusetts,8.0,Rural,6.0
15467,County_15467,Iowa,1.0,Urban,1.0
49565,County_49565,Wisconsin,7.0,Rural,5.0
53515,County_53515,Other,8.0,Rural,6.0
18981,County_18981,Louisiana,5.0,Suburban/Small City,4.0
17213,County_17213,Kentucky,1.0,Urban,1.0
4459,County_4459,Arkansas,7.0,Rural,5.0
18987,County_18987,Louisiana,4.0,Suburban/Small City,4.0
43525,County_43525,Texas,3.0,Urban,3.0
45767,County_45767,Vermont,8.0,Rural,6.0
37643,County_37643,Oregon,9.0,Rural,6.0
35903,County_35903,Ohio,6.0,Rural,5.0
20071,County_20071,Maryland,9.0,Rural,6.0
13763,County_13763,Illinois,8.0,Rural,6.0
35843,County_35843,Ohio,9.0,Rural,6.0
17099,County_17099,Kentucky,9.0,Rural,6.0
4431,County_4431,Arkansas,6.0,Rural,5.0
2917,County_2917,Alaska,7.0,Rural,5.0
27071,County_27071,Nebraska,8.0,Rural,6.0
37317,County_37317,Oregon,2.0,Urban,2.0
45253,County_45253,Vermont,7.0,Rural,5.0
10587,County_10587,Georgia,2.0,Urban,2.0
55165,County_55165,Other,1.0,Urban,1.0
55735,County_55735,Other,9.0,Rural,6.0
37789,County_37789,Oregon,4.0,Suburban/Small City,4.0
41303,County_41303,South Dakota,4.0,Suburban/Small City,4.0
38731,County_38731,Pennsylvania,6.0,Rural,5.0
31549,County_31549,New Mexico,7.0,Rural,5.0
15481,County_15481,Iowa,6.0,Rural,5.0
23205,County_23205,Minnesota,2.0,Urban,2.0
17487,County_17487,Kentucky,8.0,Rural,6.0
36147,County_36147,Oklahoma,9.0,Rural,6.0
45547,County_45547,Vermont,8.0,Rural,6.0
38361,County_38361,Pennsylvania,6.0,Rural,5.0
38451,County_38451,Pennsylvania,9.0,Rural,6.0
43989,County_43989,Texas,8.0,Rural,6.0
35987,County_35987,Ohio,1.0,Urban,1.0
36327,County_36327,Oklahoma,6.0,Rural,5.0
31667,County_31667,New Mexico,5.0,Suburban/Small City,4.0
11923,County_11923,Hawaii,6.0,Rural,5.0
4903,County_4903,Arkansas,8.0,Rural,6.0
36667,County_36667,Oklahoma,2.0,Urban,2.0
43713,County_43713,Texas,4.0,Suburban/Small City,4.0
56627,County_56627,Other,2.0,Urban,2.0
6233,County_6233,Colorado,2.0,Urban,2.0
42103,County_42103,Tennessee,9.0,Rural,6.0
52483,County_52483,Other,8.0,Rural,6.0
3647,County_3647,Arizona,8.0,Rural,6.0
54089,County_54089,Other,8.0,Rural,6.0
53595,County_53595,Other,8.0,Rural,6.0
17515,County_17515,Kentucky,3.0,Urban,3.0
12775,County_12775,Idaho,7.0,Rural,5.0
52947,County_52947,Other,6.0,Rural,5.0
39911,County_39911,Rhode Island,2.0,Urban,2.0
45241,County_45241,Vermont,4.0,Suburban/Small City,4.0
23341,County_23341,Minnesota,5.0,Suburban/Small City,4.0
53177,County_53177,Other,8.0,Rural,6.0
36607,County_36607,Oklahoma,8.0,Rural,6.0
41731,County_41731,South Dakota,5.0,Suburban/Small City,4.0
11657,County_11657,Hawaii,3.0,Urban,3.0
4805,County_4805,Arkansas,2.0,Urban,2.0
37567,County_37567,Oregon,7.0,Rural,5.0
25343,County_25343,Missouri,6.0,Rural,5.0
34927,County_34927,North Dakota,8.0,Rural,6.0
45239,County_45239,Vermont,3.0,Urban,3.0
4299,County_4299,Arkansas,1.0,Urban,1.0
41009,County_41009,South Dakota,9.0,Rural,6.0
25305,County_25305,Missouri,9.0,Rural,6.0
3179,County_3179,Arizona,4.0,Suburban/Small City,4.0
31209,County_31209,New Mexico,7.0,Rural,5.0
7131,County_7131,Connecticut,9.0,Rural,6.0
54443,County_54443,Other,3.0,Urban,3.0
26947,County_26947,Montana,1.0,Urban,1.0
35745,County_35745,Ohio,9.0,Rural,6.0
33831,County_33831,North Carolina,7.0,Rural,5.0
11055,County_11055,Hawaii,7.0,Rural,5.0
46001,County_46001,Virginia,4.0,Suburban/Small City,4.0
17491,County_17491,Kentucky,4.0,Suburban/Small City,4.0
38773,County_38773,Pennsylvania,2.0,Urban,2.0
23347,County_23347,Minnesota,8.0,Rural,6.0
5945,County_5945,California,1.0,Urban,1.0
38579,County_38579,Pennsylvania,8.0,Rural,6.0
30947,County_30947,New Jersey,9.0,Rural,6.0
49045,County_49045,Wisconsin,2.0,Urban,2.0
14279,County_14279,Indiana,6.0,Rural,5.0
50919,County_50919,Wyoming,6.0,Rural,5.0
34971,County_34971,North Dakota,1.0,Urban,1.0
27647,County_27647,Nebraska,9.0,Rural,6.0
10109,County_10109,Georgia,2.0,Urban,2.0
56933,County_56933,Other,4.0,Suburban/Small City,4.0
35261,County_35261,Ohio,3.0,Urban,3.0
24725,County_24725,Mississippi,6.0,Rural,5.0
40475,County_40475,South Carolina,8.0,Rural,6.0
17957,County_17957,Kentucky,6.0,Rural,5.0
23953,County_23953,Minnesota,2.0,Urban,2.0
44883,County_44883,Utah,6.0,Rural,5.0
54183,County_54183,Other,4.0,Suburban/Small City,4.0
7815,County_7815,Connecticut,5.0,Suburban/Small City,4.0
45023,County_45023,Vermont,9.0,Rural,6.0
32453,County_32453,New York,6.0,Rural,5.0
52245,County_52245,Other,7.0,Rural,5.0
44853,County_44853,Utah,8.0,Rural,6.0
7165,County_7165,Connecticut,2.0,Urban,2.0
5857,County_5857,California,2.0,Urban,2.0
29181,County_29181,New Hampshire,1.0,Urban,1.0
53887,County_53887,Other,4.0,Suburban/Small City,4.0
4323,County_4323,Arkansas,5.0,Suburban/Small City,4.0
3795,County_3795,Arizona,8.0,Rural,6.0
50501,County_50501,Wyoming,6.0,Rural,5.0
39943,County_39943,Rhode Island,7.0,Rural,5.0
51525,County_51525,Other,1.0,Urban,1.0
25865,County_25865,Missouri,3.0,Urban,3.0
48797,County_48797,West Virginia,7.0,Rural,5.0
20809,County_20809,Maryland,7.0,Rural,5.0
16953,County_16953,Kansas,4.0,Suburban/Small City,4.0
19155,County_19155,Maine,1.0,Urban,1.0
23871,County_23871,Minnesota,2.0,Urban,2.0
33465,County_33465,North Carolina,2.0,Urban,2.0
4063,County_4063,Arkansas,7.0,Rural,5.0
53211,County_53211,Other,8.0,Rural,6.0
29353,County_29353,New Hampshire,3.0,Urban,3.0
43629,County_43629,Texas,7.0,Rural,5.0
13599,County_13599,Illinois,5.0,Suburban/Small City,4.0
24957,County_24957,Mississippi,5.0,Suburban/Small City,4.0
8483,County_8483,Delaware,9.0,Rural,6.0
25053,County_25053,Missouri,7.0,Rural,5.0
41291,County_41291,South Dakota,4.0,Suburban/Small City,4.0
10047,County_10047,Georgia,4.0,Suburban/Small City,4.0
42347,County_42347,Tennessee,9.0,Rural,6.0
18215,County_18215,Louisiana,3.0,Urban,3.0
33295,County_33295,North Carolina,8.0,Rural,6.0
46873,County_46873,Virginia,5.0,Suburban/Small City,4.0
11873,County_11873,Hawaii,8.0,Rural,6.0
4311,County_4311,Arkansas,8.0,Rural,6.0
33759,County_33759,North Carolina,5.0,Suburban/Small City,4.0
11969,County_11969,Hawaii,7.0,Rural,5.0
40817,County_40817,South Carolina,9.0,Rural,6.0
12189,County_12189,Idaho,9.0,Rural,6.0
19759,County_19759,Maine,6.0,Rural,5.0
15965,County_15965,Iowa,7.0,Rural,5.0
8357,County_8357,Delaware,7.0,Rural,5.0
31143,County_31143,New Mexico,9.0,Rural,6.0
55407,County_55407,Other,2.0,Urban,2.0
28125,County_28125,Nevada,8.0,Rural,6.0
49425,County_49425,Wisconsin,3.0,Urban,3.0
34143,County_34143,North Dakota,1.0,Urban,1.0
44123,County_44123,Utah,6.0,Rural,5.0
11263,County_11263,Hawaii,2.0,Urban,2.0
13147,County_13147,Illinois,2.0,Urban,2.0
39595,County_39595,Rhode Island,2.0,Urban,2.0
1425,County_1425,Alabama,4.0,Suburban/Small City,4.0
18131,County_18131,Louisiana,2.0,Urban,2.0
37819,County_37819,Oregon,3.0,Urban,3.0
56951,County_56951,Other,8.0,Rural,6.0
35885,County_35885,Ohio,9.0,Rural,6.0
22845,County_22845,Michigan,9.0,Rural,6.0
38171,County_38171,Pennsylvania,5.0,Suburban/Small City,4.0
49671,County_49671,Wisconsin,2.0,Urban,2.0
9361,County_9361,Florida,1.0,Urban,1.0
55947,County_55947,Other,6.0,Rural,5.0
43955,County_43955,Texas,2.0,Urban,2.0
48551,County_48551,West Virginia,1.0,Urban,1.0
17473,County_17473,Kentucky,9.0,Rural,6.0
2921,County_2921,Alaska,7.0,Rural,5.0
45891,County_45891,Vermont,2.0,Urban,2.0
21815,County_21815,Massachusetts,9.0,Rural,6.0
9117,County_9117,Florida,4.0,Suburban/Small City,4.0
15631,County_15631,Iowa,1.0,Urban,1.0
39153,County_39153,Rhode Island,8.0,Rural,6.0
35853,County_35853,Ohio,9.0,Rural,6.0
55657,County_55657,Other,2.0,Urban,2.0
12215,County_12215,Idaho,2.0,Urban,2.0
36781,County_36781,Oklahoma,9.0,Rural,6.0
15973,County_15973,Iowa,2.0,Urban,2.0
38749,County_38749,Pennsylvania,2.0,Urban,2.0
37241,County_37241,Oregon,1.0,Urban,1.0
5545,County_5545,California,2.0,Urban,2.0
