COUNTYFIPS,COUNTY,STATE,community_type,poverty_rate_pct,poverty_rate_children_pct,pct_below_50pct_poverty_line,pct_hh_on_food_stamps
28817,County_28817,Nevada,Urban,25.08,32.18,12.36,31.08
31929,County_31929,New Mexico,Suburban/Small City,35.84,47.73,15.46,50.69
48391,County_48391,West Virginia,Urban,16.81,23.22,7.23,12.09
36571,County_36571,Oklahoma,Rural,27.72,35.76,14.04,40.66
34787,County_34787,North Dakota,Rural,36.24,48.27,16.43,45.22
27129,County_27129,Nebraska,Rural,35.84,44.82,13.9,42.88
7991,County_7991,Connecticut,Suburban/Small City,27.5,34.48,11.12,43.62
39313,County_39313,Rhode Island,Urban,12.19,16.65,4.39,12.8
31275,County_31275,New Mexico,Rural,19.56,27.42,12.45,20.64
11567,County_11567,Hawaii,Urban,22.21,25.16,9.31,25.52
33715,County_33715,North Carolina,Rural,35.53,48.31,16.22,44.96
10557,County_10557,Georgia,Rural,27.93,36.2,12.83,36.07
30063,County_30063,New Jersey,Urban,40.67,54.07,16.65,52.3
29663,County_29663,New Hampshire,Rural,15.07,21.61,3.6,13.97
30173,County_30173,New Jersey,Urban,20.98,26.95,9.82,22.25
36793,County_36793,Oklahoma,Rural,13.65,16.93,0.2,16.52
34439,County_34439,North Dakota,Suburban/Small City,20.05,25.84,8.71,23.73
51939,County_51939,Other,Urban,32.16,41.12,15.39,33.77
51221,County_51221,Other,Urban,24.54,32.43,11.3,26.57
20259,County_20259,Maryland,Rural,27.74,38.0,15.21,38.93
35941,County_35941,Ohio,Suburban/Small City,22.83,31.47,11.91,29.27
16959,County_16959,Kansas,Rural,34.31,46.11,15.54,41.53
21391,County_21391,Massachusetts,Urban,39.93,53.8,20.51,51.34
48645,County_48645,West Virginia,Rural,43.66,59.27,18.3,54.0
51979,County_51979,Other,Rural,21.65,29.39,9.07,20.54
25271,County_25271,Missouri,Urban,26.42,34.98,11.71,35.99
49049,County_49049,Wisconsin,Rural,27.35,36.97,14.07,27.77
44657,County_44657,Utah,Suburban/Small City,15.67,19.56,7.46,10.14
15163,County_15163,Iowa,Rural,43.35,53.13,18.72,54.67
21943,County_21943,Massachusetts,Urban,16.64,23.52,7.18,20.84
12539,County_12539,Idaho,Rural,19.26,24.1,11.3,18.9
3221,County_3221,Arizona,Rural,22.72,29.5,10.01,32.23
36299,County_36299,Oklahoma,Urban,18.07,22.88,10.39,18.28
50245,County_50245,Wyoming,Urban,34.93,,18.24,37.12
11725,County_11725,Hawaii,Rural,19.49,25.28,7.04,22.73
19761,County_19761,Maine,Rural,16.71,23.45,5.46,20.42
40441,County_40441,South Carolina,Urban,28.22,35.71,11.72,32.57
23591,County_23591,Minnesota,Urban,22.93,32.05,10.23,27.6
4415,County_4415,Arkansas,Rural,35.51,47.93,15.13,48.7
51759,County_51759,Other,Urban,12.69,17.94,8.03,4.03
29161,County_29161,New Hampshire,Rural,16.81,22.79,7.82,19.43
55581,County_55581,Other,Urban,21.46,28.75,8.83,24.43
46645,County_46645,Virginia,Rural,28.9,40.12,13.19,29.52
43773,County_43773,Texas,Rural,16.11,18.99,9.09,14.84
42531,County_42531,Tennessee,Rural,30.63,42.03,15.99,36.58
12399,County_12399,Idaho,Rural,39.18,51.8,15.89,50.12
28259,County_28259,Nevada,Urban,33.21,43.3,19.29,40.65
21443,County_21443,Massachusetts,Rural,31.73,40.92,12.85,42.96
55573,County_55573,Other,Rural,38.48,47.23,14.79,49.81
52047,County_52047,Other,Urban,19.03,25.76,9.4,
52749,County_52749,Other,Rural,5.41,7.5,0.3,2.59
52953,County_52953,Other,Suburban/Small City,22.9,30.76,13.13,24.61
44417,County_44417,Utah,Urban,31.67,40.91,16.25,36.92
45195,County_45195,Vermont,Rural,15.13,17.26,7.19,17.59
46105,County_46105,Virginia,Rural,29.36,38.98,15.53,35.5
49833,County_49833,Wisconsin,Urban,17.82,21.61,8.68,15.8
29333,County_29333,New Hampshire,Rural,36.9,49.16,16.32,50.21
24023,County_24023,Mississippi,Rural,26.75,32.67,11.6,29.05
26865,County_26865,Montana,Urban,23.66,30.8,11.83,26.74
26171,County_26171,Montana,Rural,27.72,37.85,13.26,32.12
17149,County_17149,Kentucky,Rural,15.81,18.46,5.46,17.8
44167,County_44167,Utah,Rural,26.63,37.98,13.58,
34375,County_34375,North Dakota,Rural,20.59,28.04,,17.76
7389,County_7389,Connecticut,Urban,12.73,18.94,7.24,14.69
46943,County_46943,Virginia,Suburban/Small City,26.42,33.24,11.65,32.89
30789,County_30789,New Jersey,Urban,18.74,22.57,5.74,18.1
21461,County_21461,Massachusetts,Rural,13.84,20.02,8.07,11.29
12597,County_12597,Idaho,Urban,15.92,18.92,7.95,
46749,County_46749,Virginia,Rural,18.27,23.25,9.32,8.99
16271,County_16271,Kansas,Rural,23.57,32.57,9.28,28.46
9853,County_9853,Florida,Suburban/Small City,25.31,31.17,10.0,21.83
5551,County_5551,California,Rural,42.59,57.32,17.51,53.66
29239,County_29239,New Hampshire,Rural,24.31,36.59,11.43,24.97
31689,County_31689,New Mexico,Urban,25.01,35.6,11.67,28.88
15983,County_15983,Iowa,Rural,18.47,19.71,8.55,10.41
4725,County_4725,Arkansas,Rural,20.65,23.54,11.76,15.66
36133,County_36133,Oklahoma,Rural,32.29,34.79,16.2,37.24
52521,County_52521,Other,Rural,33.2,40.63,15.86,43.01
41525,County_41525,South Dakota,Rural,29.31,39.05,14.51,38.08
22793,County_22793,Michigan,Rural,,26.73,9.25,19.31
43219,County_43219,Texas,Suburban/Small City,40.45,51.96,19.21,54.45
2041,County_2041,Alaska,Suburban/Small City,21.16,27.47,10.69,26.06
2473,County_2473,Alaska,Urban,,11.94,5.01,7.36
10371,County_10371,Georgia,Suburban/Small City,36.31,49.63,15.75,49.97
26787,County_26787,Montana,Rural,26.52,32.89,12.52,25.56
34667,County_34667,North Dakota,Rural,21.86,28.0,11.34,16.76
30431,County_30431,New Jersey,Rural,29.67,37.89,13.79,32.82
20109,County_20109,Maryland,Rural,38.92,50.0,19.47,50.35
32809,County_32809,New York,Rural,25.49,,10.6,33.82
3983,County_3983,Arizona,Urban,24.48,31.39,12.42,24.88
7967,County_7967,Connecticut,Suburban/Small City,18.39,22.16,6.29,11.75
34673,County_34673,North Dakota,Rural,33.75,43.57,15.05,42.29
56315,County_56315,Other,Rural,25.54,33.56,12.13,25.33
12339,County_12339,Idaho,Suburban/Small City,11.49,16.53,4.16,10.85
50057,County_50057,Wyoming,Suburban/Small City,35.57,43.55,16.26,47.34
37981,County_37981,Oregon,Rural,25.34,31.82,11.54,32.07
38669,County_38669,Pennsylvania,Rural,35.7,47.23,15.83,44.11
6465,County_6465,Colorado,Suburban/Small City,31.45,39.4,12.85,40.64
10625,County_10625,Georgia,Rural,23.79,30.06,10.5,24.77
12173,County_12173,Idaho,Urban,33.07,43.6,18.88,45.4
41265,County_41265,South Dakota,Urban,21.33,28.39,8.06,21.51
26969,County_26969,Montana,Rural,25.04,34.77,11.55,32.9
41427,County_41427,South Dakota,Rural,17.34,23.51,8.12,18.21
49683,County_49683,Wisconsin,Urban,19.05,23.61,5.34,16.95
31717,County_31717,New Mexico,Rural,22.69,29.72,8.64,26.39
46185,County_46185,Virginia,Rural,15.09,21.73,9.48,10.63
8607,County_8607,Delaware,Rural,33.54,44.77,14.78,35.96
16097,County_16097,Kansas,Urban,25.02,31.16,10.93,27.53
52637,County_52637,Other,Rural,36.14,46.3,16.65,43.97
22729,County_22729,Michigan,Rural,24.34,30.77,12.15,26.43
14011,County_14011,Indiana,Urban,20.36,24.41,10.26,24.93
54367,County_54367,Other,Suburban/Small City,,34.1,9.85,
8799,County_8799,Delaware,Urban,28.0,,,35.92
18623,County_18623,Louisiana,Rural,35.68,46.64,,47.45
30781,County_30781,New Jersey,Rural,17.55,21.57,7.41,20.44
22461,County_22461,Michigan,Urban,30.94,39.38,12.89,40.63
31453,County_31453,New Mexico,Rural,21.09,26.22,6.69,22.23
48249,County_48249,West Virginia,Rural,16.79,21.21,5.29,21.65
15145,County_15145,Iowa,Rural,34.53,44.55,15.63,47.78
22631,County_22631,Michigan,Rural,26.79,38.22,10.57,34.31
19553,County_19553,Maine,Urban,22.38,27.17,8.6,25.25
28121,County_28121,Nevada,Urban,40.36,48.95,18.72,
29689,County_29689,New Hampshire,Rural,27.61,34.89,12.71,32.5
9923,County_9923,Florida,Urban,18.64,22.33,8.73,19.31
56663,County_56663,Other,Rural,33.69,42.45,16.53,40.65
41247,County_41247,South Dakota,Rural,32.26,43.81,16.94,37.36
55887,County_55887,Other,Rural,21.36,29.99,10.83,21.67
38027,County_38027,Pennsylvania,Rural,15.34,18.19,7.3,9.66
4427,County_4427,Arkansas,Urban,14.33,16.57,5.68,13.68
35119,County_35119,Ohio,Rural,30.53,41.9,14.23,35.97
38653,County_38653,Pennsylvania,Rural,23.29,28.26,11.19,21.36
23177,County_23177,Minnesota,Rural,25.53,30.91,11.87,31.32
31783,County_31783,New Mexico,Rural,27.17,37.59,9.09,
4113,County_4113,Arkansas,Rural,36.09,49.35,14.67,48.58
51749,County_51749,Other,Urban,30.9,38.21,15.73,40.05
56515,County_56515,Other,Rural,28.84,36.97,14.94,41.86
49045,County_49045,Wisconsin,Rural,40.66,53.33,20.49,54.66
17503,County_17503,Kentucky,Urban,21.19,26.88,8.09,26.5
37695,County_37695,Oregon,Rural,27.29,33.57,12.86,34.8
54479,County_54479,Other,Rural,14.89,16.91,7.02,4.32
11423,County_11423,Hawaii,Rural,40.93,53.85,18.02,49.81
54907,County_54907,Other,Rural,15.13,21.08,7.01,9.44
4645,County_4645,Arkansas,Rural,24.28,32.47,10.32,30.51
32735,County_32735,New York,Suburban/Small City,31.5,39.23,13.26,31.49
29499,County_29499,New Hampshire,Suburban/Small City,16.15,22.3,7.81,16.84
41949,County_41949,South Dakota,Rural,22.27,32.69,11.48,26.32
1829,County_1829,Alabama,Rural,25.16,33.44,11.55,30.88
45565,County_45565,Vermont,Rural,30.48,40.62,14.92,39.99
42031,County_42031,Tennessee,Rural,32.55,42.92,15.46,38.47
33173,County_33173,North Carolina,Rural,18.31,17.69,9.08,23.51
39417,County_39417,Rhode Island,Urban,15.59,20.14,7.51,7.29
12431,County_12431,Idaho,Urban,10.39,14.84,4.88,8.73
16537,County_16537,Kansas,Rural,20.79,27.89,8.11,22.51
22957,County_22957,Michigan,Urban,33.88,44.99,17.95,39.06
46863,County_46863,Virginia,Urban,21.5,27.81,10.74,20.52
40823,County_40823,South Carolina,Rural,28.09,36.54,10.64,37.07
51865,County_51865,Other,Suburban/Small City,37.54,48.82,16.36,41.86
17425,County_17425,Kentucky,Rural,17.83,18.73,6.72,17.44
31461,County_31461,New Mexico,Rural,22.27,30.96,10.1,26.35
44547,County_44547,Utah,Rural,19.78,28.89,11.29,20.6
43167,County_43167,Texas,Rural,10.79,13.48,3.48,14.07
31765,County_31765,New Mexico,Urban,28.86,37.04,14.29,36.07
35255,County_35255,Ohio,Rural,26.92,33.73,13.72,26.73
23249,County_23249,Minnesota,Rural,11.65,15.95,7.54,16.11
31671,County_31671,New Mexico,Rural,36.67,45.91,17.61,55.98
16245,County_16245,Kansas,Urban,17.73,19.9,7.26,14.95
15661,County_15661,Iowa,Rural,25.94,32.77,11.41,32.53
46973,County_46973,Virginia,Urban,21.66,30.18,9.52,29.07
34071,County_34071,North Dakota,Rural,28.37,40.5,15.11,35.93
25917,County_25917,Missouri,Suburban/Small City,25.72,,12.96,30.69
7173,County_7173,Connecticut,Rural,31.39,40.49,14.51,37.51
20935,County_20935,Maryland,Urban,25.57,32.1,14.13,28.43
37569,County_37569,Oregon,Urban,30.25,40.23,15.43,42.49
56303,County_56303,Other,Rural,24.68,31.39,13.28,19.89
6505,County_6505,Colorado,Rural,30.76,38.81,14.04,35.81
25245,County_25245,Missouri,Rural,22.62,27.97,8.7,24.98
43543,County_43543,Texas,Rural,30.43,37.96,14.47,37.95
53625,County_53625,Other,Urban,20.89,28.92,8.22,20.37
44461,County_44461,Utah,Urban,16.48,19.23,6.45,23.09
40499,County_40499,South Carolina,Rural,18.57,25.27,8.77,25.86
1817,County_1817,Alabama,Urban,29.09,37.73,10.85,42.04
22271,County_22271,Michigan,Urban,34.38,43.46,15.51,41.17
12263,County_12263,Idaho,Urban,33.68,43.59,16.31,49.77
9917,County_9917,Florida,Urban,29.03,39.93,10.08,34.86
39983,County_39983,Rhode Island,Rural,13.69,16.92,5.52,12.27
10459,County_10459,Georgia,Urban,27.64,,11.71,
11387,County_11387,Hawaii,Rural,27.89,35.46,13.46,29.37
19493,County_19493,Maine,Rural,29.53,37.63,12.51,42.72
16629,County_16629,Kansas,Rural,15.42,15.56,5.14,10.89
1825,County_1825,Alabama,Rural,16.3,20.89,7.38,17.38
27947,County_27947,Nebraska,Urban,29.25,38.23,14.25,36.8
10487,County_10487,Georgia,Rural,25.55,33.31,9.71,
42931,County_42931,Tennessee,Urban,14.65,16.93,7.78,19.41
22847,County_22847,Michigan,Rural,22.37,31.09,7.46,21.98
5643,County_5643,California,Rural,33.32,43.26,14.48,45.48
25929,County_25929,Missouri,Suburban/Small City,36.21,50.13,16.14,41.1
33641,County_33641,North Carolina,Urban,27.91,32.86,11.92,37.79
24835,County_24835,Mississippi,Suburban/Small City,25.5,31.42,13.09,38.2
23301,County_23301,Minnesota,Rural,31.27,39.73,13.48,44.7
39579,County_39579,Rhode Island,Urban,27.35,34.6,11.42,34.96
7401,County_7401,Connecticut,Rural,38.75,52.55,19.52,42.83
49551,County_49551,Wisconsin,Suburban/Small City,17.25,23.98,8.47,21.08
6445,County_6445,Colorado,Urban,33.46,41.73,14.63,43.39
44081,County_44081,Utah,Rural,16.62,23.35,7.49,18.17
45359,County_45359,Vermont,Urban,24.08,30.23,10.08,29.32
44721,County_44721,Utah,Rural,21.52,29.81,9.4,15.72
50489,County_50489,Wyoming,Urban,22.21,28.2,6.2,
35795,County_35795,Ohio,Suburban/Small City,,42.53,15.23,41.61
16477,County_16477,Kansas,Rural,21.94,27.44,8.82,27.49
55727,County_55727,Other,Rural,37.05,47.2,18.32,50.53
15849,County_15849,Iowa,Urban,29.1,34.92,14.02,30.86
3413,County_3413,Arizona,Rural,22.21,28.53,9.37,29.94
20659,County_20659,Maryland,Urban,30.58,39.2,14.64,38.77
30135,County_30135,New Jersey,Urban,24.43,32.94,9.8,22.71
13263,County_13263,Illinois,Urban,30.66,42.26,15.67,39.96
28907,County_28907,Nevada,Rural,16.88,21.8,5.35,26.89
22845,County_22845,Michigan,Suburban/Small City,32.81,43.23,16.99,42.41
27057,County_27057,Nebraska,Urban,28.66,38.12,13.23,30.75
29979,County_29979,New Hampshire,Suburban/Small City,21.26,27.51,7.9,22.71
53405,County_53405,Other,Urban,35.61,47.87,15.58,46.43
43191,County_43191,Texas,Rural,14.59,16.61,5.15,15.68
29109,County_29109,New Hampshire,Urban,37.22,47.56,15.95,42.06
42885,County_42885,Tennessee,Urban,21.69,28.88,5.27,26.65
46813,County_46813,Virginia,Urban,15.03,20.8,6.65,16.22
56611,County_56611,Other,Rural,25.85,34.55,13.78,26.71
56389,County_56389,Other,Rural,32.79,39.95,12.02,44.53
13639,County_13639,Illinois,Rural,32.03,40.71,14.21,40.78
32299,County_32299,New York,Rural,31.61,40.03,16.33,45.55
53437,County_53437,Other,Rural,22.4,23.56,,26.56
3863,County_3863,Arizona,Rural,20.29,,11.58,24.89
3623,County_3623,Arizona,Urban,36.2,47.04,16.2,45.36
20195,County_20195,Maryland,Rural,34.72,44.14,14.34,36.23
20217,County_20217,Maryland,Rural,33.8,45.09,14.98,43.55
55191,County_55191,Other,Suburban/Small City,26.95,36.31,11.8,25.74
45111,County_45111,Vermont,Urban,,45.47,13.37,42.45
49413,County_49413,Wisconsin,Rural,31.94,41.52,14.42,41.3
9433,County_9433,Florida,Urban,26.96,35.24,10.96,29.42
9447,County_9447,Florida,Rural,21.01,29.05,8.6,26.32
13503,County_13503,Illinois,Rural,26.99,35.92,12.51,27.58
49495,County_49495,Wisconsin,Urban,16.16,22.68,5.35,15.43
43743,County_43743,Texas,Rural,26.44,35.03,12.14,29.61
54567,County_54567,Other,Rural,31.35,41.35,15.16,38.46
21635,County_21635,Massachusetts,Rural,25.17,33.16,9.2,31.38
24337,County_24337,Mississippi,Urban,17.73,25.09,8.57,25.72
46057,County_46057,Virginia,Rural,16.03,19.83,4.23,17.67
18375,County_18375,Louisiana,Urban,,32.29,10.41,20.18
38785,County_38785,Pennsylvania,Rural,37.18,46.62,18.17,53.01
6091,County_6091,Colorado,Rural,35.09,46.93,18.27,44.39
53963,County_53963,Other,Urban,23.54,34.5,10.75,25.45
20645,County_20645,Maryland,Rural,31.07,37.72,17.25,35.25
29107,County_29107,New Hampshire,Suburban/Small City,30.12,39.85,14.83,33.19
23565,County_23565,Minnesota,Urban,33.58,40.14,12.26,43.96
27163,County_27163,Nebraska,Urban,31.19,37.29,14.36,33.31
24645,County_24645,Mississippi,Rural,21.76,30.96,10.13,17.9
10817,County_10817,Georgia,Rural,26.23,37.64,12.09,33.9
55055,County_55055,Other,Urban,27.99,33.68,14.64,31.95
10715,County_10715,Georgia,Rural,15.53,21.16,8.54,20.54
48817,County_48817,West Virginia,Rural,22.79,29.73,10.28,18.74
14117,County_14117,Indiana,Rural,25.54,31.21,16.72,29.8
46873,County_46873,Virginia,Rural,15.69,14.66,8.59,14.86
54339,County_54339,Other,Rural,36.02,45.16,15.96,46.48
1279,County_1279,Alabama,Urban,35.52,46.23,16.57,40.65
16301,County_16301,Kansas,Urban,33.39,45.54,17.21,32.65
28243,County_28243,Nevada,Urban,29.4,36.78,15.73,43.72
25353,County_25353,Missouri,Rural,22.56,32.67,11.34,21.83
15573,County_15573,Iowa,Rural,37.72,47.92,17.33,46.46
34729,County_34729,North Dakota,Rural,31.78,40.0,13.27,46.61
18523,County_18523,Louisiana,Rural,25.62,31.57,11.65,31.95
31669,County_31669,New Mexico,Rural,14.85,19.67,5.75,
10271,County_10271,Georgia,Rural,7.19,5.87,1.55,12.19
55621,County_55621,Other,Rural,38.76,48.42,14.2,51.86
55887,County_55887,Other,Urban,25.23,38.46,13.17,29.06
38841,County_38841,Pennsylvania,Rural,38.85,49.24,17.49,43.33
5405,County_5405,California,Urban,22.01,28.69,9.43,28.28
23153,County_23153,Minnesota,Rural,20.41,25.2,8.0,15.92
17523,County_17523,Kentucky,Rural,36.34,43.89,17.56,46.39
8775,County_8775,Delaware,Rural,32.61,41.18,13.93,40.94
27223,County_27223,Nebraska,Rural,28.87,37.11,12.98,37.95
41509,County_41509,South Dakota,Urban,,42.86,17.63,41.03
52601,County_52601,Other,Rural,24.3,32.52,9.63,21.62
33973,County_33973,North Carolina,Urban,20.03,25.75,10.17,23.06
39317,County_39317,Rhode Island,Urban,21.89,29.08,11.56,19.95
50489,County_50489,Wyoming,Suburban/Small City,24.71,34.02,,28.61
51067,County_51067,Other,Rural,27.38,36.17,12.12,27.13
24819,County_24819,Mississippi,Rural,31.3,44.98,15.04,38.73
27775,County_27775,Nebraska,Rural,24.26,33.98,10.61,27.71
54963,County_54963,Other,Urban,19.37,23.87,9.21,29.87
27041,County_27041,Nebraska,Urban,28.26,36.77,13.76,41.48
56649,County_56649,Other,Rural,34.15,45.03,,44.6
18415,County_18415,Louisiana,Rural,16.62,,7.0,16.71
45515,County_45515,Vermont,Rural,16.19,20.44,4.68,18.6
9223,County_9223,Florida,Suburban/Small City,13.45,18.48,5.74,14.1
37317,County_37317,Oregon,Rural,23.29,28.86,,31.07
29981,County_29981,New Hampshire,Rural,16.33,22.87,4.34,21.12
6211,County_6211,Colorado,Rural,21.89,30.51,10.78,20.81
10477,County_10477,Georgia,Rural,30.34,42.46,16.61,28.91
9835,County_9835,Florida,Rural,18.84,24.2,7.8,23.17
32241,County_32241,New York,Rural,17.01,23.51,6.3,20.32
54903,County_54903,Other,Urban,7.89,9.83,1.27,12.18
45947,County_45947,Vermont,Rural,33.58,46.31,16.09,47.15
9787,County_9787,Florida,Rural,16.55,22.43,7.14,17.28
44011,County_44011,Utah,Urban,29.06,38.18,12.6,34.58
41863,County_41863,South Dakota,Rural,33.33,44.2,14.79,41.16
35433,County_35433,Ohio,Urban,24.93,33.45,11.01,25.29
7401,County_7401,Connecticut,Rural,40.67,51.26,15.77,58.75
53577,County_53577,Other,Rural,40.21,52.07,18.65,55.6
50495,County_50495,Wyoming,Rural,24.53,30.67,10.26,
38425,County_38425,Pennsylvania,Urban,26.39,33.69,13.05,39.58
51053,County_51053,Other,Urban,16.31,19.74,,12.93
43589,County_43589,Texas,Urban,24.83,33.43,12.23,22.73
36921,County_36921,Oklahoma,Urban,34.49,47.78,15.5,43.22
19853,County_19853,Maine,Rural,18.67,21.13,8.05,
41763,County_41763,South Dakota,Rural,16.49,22.33,6.86,16.44
6749,County_6749,Colorado,Rural,38.88,49.37,13.82,50.43
9691,County_9691,Florida,Urban,15.41,19.23,8.08,23.58
20341,County_20341,Maryland,Urban,25.45,31.37,13.66,32.34
48217,County_48217,West Virginia,Rural,28.92,41.45,10.74,26.52
40611,County_40611,South Carolina,Rural,35.81,46.1,18.49,45.71
13961,County_13961,Illinois,Rural,26.34,34.05,12.45,30.87
3987,County_3987,Arizona,Rural,41.95,54.86,19.73,56.31
32871,County_32871,New York,Rural,25.06,34.07,10.69,24.83
35963,County_35963,Ohio,Rural,17.37,22.3,8.26,18.74
22401,County_22401,Michigan,Urban,25.78,31.71,13.81,26.49
17613,County_17613,Kentucky,Suburban/Small City,19.58,25.05,11.69,23.0
22329,County_22329,Michigan,Rural,22.38,29.63,7.48,20.92
42313,County_42313,Tennessee,Rural,39.8,52.81,21.31,50.02
48061,County_48061,West Virginia,Rural,8.77,11.19,2.2,5.4
2217,County_2217,Alaska,Rural,26.73,36.46,12.5,29.13
15453,County_15453,Iowa,Rural,29.11,37.62,12.23,37.49
56365,County_56365,Other,Urban,16.08,21.46,7.08,21.37
37599,County_37599,Oregon,Rural,18.14,23.6,7.9,16.25
2817,County_2817,Alaska,Rural,35.62,47.49,16.42,42.05
8777,County_8777,Delaware,Rural,43.14,57.72,,45.76
32497,County_32497,New York,Rural,43.4,53.46,18.23,57.68
27981,County_27981,Nebraska,Rural,26.31,32.23,10.21,36.62
55723,County_55723,Other,Urban,34.71,43.64,14.79,42.73
50537,County_50537,Wyoming,Urban,27.5,32.76,15.14,31.83
27905,County_27905,Nebraska,Rural,32.72,41.12,15.04,38.93
47537,County_47537,Washington,Rural,23.52,31.11,11.35,27.03
40071,County_40071,South Carolina,Rural,35.48,50.58,17.24,52.01
49971,County_49971,Wisconsin,Urban,10.69,14.03,3.65,9.56
13521,County_13521,Illinois,Rural,30.97,38.27,12.63,42.23
54147,County_54147,Other,Urban,22.72,26.39,8.27,24.67
8185,County_8185,Delaware,Rural,12.24,14.99,,17.42
49061,County_49061,Wisconsin,Urban,35.2,45.22,13.93,45.72
50845,County_50845,Wyoming,Rural,18.78,24.44,7.4,19.9
49029,County_49029,Wisconsin,Suburban/Small City,19.29,27.24,6.46,22.99
16493,County_16493,Kansas,Urban,25.03,33.35,11.07,27.15
21223,County_21223,Massachusetts,Rural,33.94,45.98,16.42,47.26
49339,County_49339,Wisconsin,Rural,40.41,50.26,18.99,49.94
50393,County_50393,Wyoming,Urban,30.17,41.5,15.67,34.82
25807,County_25807,Missouri,Rural,14.75,16.88,6.42,11.72
51569,County_51569,Other,Urban,32.22,41.96,15.51,39.11
40665,County_40665,South Carolina,Rural,18.47,23.22,7.02,27.03
2011,County_2011,Alaska,Rural,28.76,41.49,13.66,37.62
3505,County_3505,Arizona,Suburban/Small City,28.58,36.03,13.97,36.35
23551,County_23551,Minnesota,Rural,26.33,32.53,14.64,34.02
23273,County_23273,Minnesota,Urban,19.79,25.49,10.21,15.47
11113,County_11113,Hawaii,Rural,36.04,46.16,18.31,42.19
33783,County_33783,North Carolina,Rural,39.99,51.44,16.21,52.61
36329,County_36329,Oklahoma,Rural,37.65,49.45,18.82,46.19
45091,County_45091,Vermont,Urban,21.52,27.5,9.75,19.6
10583,County_10583,Georgia,Urban,13.05,18.61,4.69,12.32
48403,County_48403,West Virginia,Urban,20.84,27.29,11.68,20.46
12343,County_12343,Idaho,Rural,14.72,17.88,7.34,19.54
2817,County_2817,Alaska,Rural,30.38,37.76,12.57,35.21
37965,County_37965,Oregon,Suburban/Small City,5.07,6.32,1.19,1.71
27379,County_27379,Nebraska,Suburban/Small City,36.96,46.78,17.28,40.48
40207,County_40207,South Carolina,Rural,30.95,41.58,13.17,36.05
4097,County_4097,Arkansas,Rural,39.69,53.07,18.44,54.31
3417,County_3417,Arizona,Rural,13.3,18.0,7.74,12.28
51629,County_51629,Other,Urban,22.27,29.18,8.97,28.31
33019,County_33019,North Carolina,Urban,35.6,47.69,16.31,47.25
34105,County_34105,North Dakota,Suburban/Small City,31.29,39.93,11.87,42.22
39165,County_39165,Rhode Island,Rural,22.55,24.8,10.4,24.54
35495,County_35495,Ohio,Urban,37.79,51.19,15.63,53.63
7639,County_7639,Connecticut,Urban,31.44,43.46,10.34,37.76
32711,County_32711,New York,Urban,25.68,32.48,12.57,31.92
11571,County_11571,Hawaii,Rural,20.83,25.37,9.26,18.75
6465,County_6465,Colorado,Urban,14.17,20.83,4.92,13.09
49955,County_49955,Wisconsin,Urban,17.15,20.39,8.16,17.42
38251,County_38251,Pennsylvania,Urban,36.07,46.73,18.1,40.65
34105,County_34105,North Dakota,Rural,17.26,23.7,6.89,16.36
13495,County_13495,Illinois,Urban,33.47,43.28,13.9,36.31
23375,County_23375,Minnesota,Urban,25.27,32.83,8.18,26.91
17885,County_17885,Kentucky,Urban,23.34,30.56,11.95,31.25
6083,County_6083,Colorado,Rural,28.64,38.59,13.43,34.27
36861,County_36861,Oklahoma,Urban,22.66,31.75,9.08,23.09
8843,County_8843,Delaware,Urban,18.25,23.62,6.47,
50889,County_50889,Wyoming,Rural,12.37,16.25,4.07,10.67
19971,County_19971,Maine,Urban,38.52,52.7,16.1,47.38
53901,County_53901,Other,Rural,31.59,41.72,13.46,44.6
37221,County_37221,Oregon,Suburban/Small City,19.19,25.91,9.29,23.31
35291,County_35291,Ohio,Rural,,47.39,15.46,41.06
9251,County_9251,Florida,Rural,15.28,23.3,4.44,19.78
50781,County_50781,Wyoming,Urban,21.99,28.07,9.86,21.19
18917,County_18917,Louisiana,Rural,32.19,43.99,13.86,40.78
1491,County_1491,Alabama,Rural,27.9,39.2,9.81,31.33
9473,County_9473,Florida,Rural,14.88,17.88,7.21,11.18
38877,County_38877,Pennsylvania,Urban,22.99,29.32,10.22,22.16
34619,County_34619,North Dakota,Suburban/Small City,21.83,30.89,10.43,25.73
46715,County_46715,Virginia,Urban,33.18,40.73,17.37,48.71
27921,County_27921,Nebraska,Rural,35.24,48.09,15.14,46.92
16159,County_16159,Kansas,Urban,24.71,32.74,11.21,
36661,County_36661,Oklahoma,Urban,21.19,27.79,8.59,24.37
40095,County_40095,South Carolina,Rural,24.33,33.37,10.66,28.98
22655,County_22655,Michigan,Suburban/Small City,40.81,54.22,15.69,54.69
20935,County_20935,Maryland,Urban,25.16,34.22,9.29,29.88
47411,County_47411,Washington,Urban,23.3,28.95,10.52,25.86
49053,County_49053,Wisconsin,Rural,35.63,,14.78,46.7
11917,County_11917,Hawaii,Urban,24.99,32.16,9.45,28.45
52111,County_52111,Other,Urban,11.09,11.06,5.5,9.05
31145,County_31145,New Mexico,Suburban/Small City,29.91,38.21,12.06,42.96
15919,County_15919,Iowa,Urban,12.87,15.96,7.98,10.88
38405,County_38405,Pennsylvania,Rural,17.04,23.76,7.76,13.47
11743,County_11743,Hawaii,Rural,26.46,33.88,12.06,36.04
43317,County_43317,Texas,Rural,17.87,20.18,6.25,17.76
